timestamp	AI-Tournaments_total	AI-Tournaments_totalExclusive	arenas	arenasExclusive	interfaces	interfacesExclusive	participants	participantsExclusive	replays	replaysExclusive	retiredParticipants
2022-08-02T00:35:00.000Z	8	0	2	0	3	0	5	0	0	0	0
2022-08-03T00:35:40.000Z	9	0	2	0	3	0	5	0	0	0	0
2022-08-04T00:34:47.000Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-05T09:53:00.748Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-06T01:58:36.038Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-07T02:06:27.236Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-08T01:57:19.418Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-09T02:08:23.079Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-10T06:27:05.731Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-11T01:52:50.949Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-12T01:57:29.034Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-13T01:51:49.298Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-14T02:09:07.873Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-15T06:05:13.406Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-16T02:08:32.573Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-17T02:20:51.028Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-18T02:22:27.926Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-19T02:10:01.831Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-20T02:08:01.737Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-21T05:03:20.273Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-22T00:38:26.540Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-23T00:43:49.153Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-24T00:39:47.856Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-25T00:42:24.087Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-26T00:38:50.503Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-27T00:33:44.675Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-28T00:39:55.013Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-29T00:40:45.464Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-30T00:44:34.785Z	11	0	2	0	3	0	5	0	2	0	0
2022-08-31T00:46:53.537Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-01T00:35:19.069Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-02T00:39:00.102Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-03T00:34:27.228Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-04T00:40:06.595Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-05T00:43:41.655Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-06T00:41:35.278Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-07T00:40:23.348Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-08T00:39:00.719Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-09T00:40:46.076Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-10T00:41:05.054Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-11T00:39:05.234Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-12T00:37:59.787Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-13T00:40:58.587Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-14T00:38:57.786Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-15T00:43:23.592Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-16T00:41:57.355Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-17T00:37:06.941Z	11	0	2	0	3	0	5	0	2	0	0
2022-09-18T00:42:55.775Z	11	0	2	0	3	0	5	0	2	0	0
